iter	Passed	Remaining
401	14102	20978
402	14585	21606
403	14771	21791
404	14850	21816
405	14935	21851
406	14988	21838
407	15029	21808
408	15036	21728
409	15072	21690
410	15101	21641
411	15129	21591
412	15155	21540
413	15183	21491
414	15219	21454
415	15266	21432
416	15293	21382
417	15320	21331
418	15355	21292
419	15403	21270
420	15437	21231
421	15473	21194
422	15501	21144
423	15530	21097
424	15559	21051
425	15627	21056
426	15651	21003
427	15689	20968
428	15742	20953
429	15796	20939
430	15837	20907
431	15875	20873
432	15919	20845
433	15949	20800
434	15985	20762
435	16015	20717
436	16047	20674
437	16067	20615
438	16102	20577
439	16142	20544
440	16190	20522
441	16230	20489
442	16263	20449
443	16278	20385
444	16316	20349
445	16353	20313
446	16415	20307
447	16451	20270
448	16466	20207
449	16484	20147
450	16499	20084
451	16532	20043
452	16567	20004
453	16607	19972
454	16673	19971
455	16708	19932
456	16743	19894
457	16790	19870
458	16837	19845
459	16884	19821
460	16938	19804
461	17006	19804
462	17069	19797
463	17106	19760
464	17141	19722
465	17167	19672
466	17198	19629
467	17244	19603
468	17284	19569
469	17321	19533
470	17339	19474
471	17375	19437
472	17396	19382
473	17431	19343
474	17456	19293
475	17551	19321
476	17588	19285
477	17619	19240
478	17650	19198
479	17678	19151
480	17686	19084
481	17719	19042
482	17758	19008
483	17775	18951
484	17805	18907
485	17816	18843
486	17846	18798
487	17881	18760
488	17921	18727
489	17955	18688
490	17998	18657
491	18045	18632
492	18086	18599
493	18126	18566
494	18151	18518
495	18183	18476
496	18212	18432
497	18223	18369
498	18256	18329
499	18272	18272
500	18301	18228
501	18329	18183
502	18364	18145
503	18401	18109
504	18441	18076
505	18541	18101
506	18580	18067
507	18614	18028
508	18643	17984
509	18677	17944
510	18749	17942
511	18783	17903
512	18811	17857
513	18852	17825
514	18885	17784
515	18916	17743
516	18949	17703
517	18993	17673
518	19038	17644
519	19071	17604
520	19103	17563
521	19135	17522
522	19163	17478
523	19202	17443
524	19239	17407
525	19271	17365
526	19298	17321
527	19328	17278
528	19360	17238
529	19392	17197
530	19426	17157
531	19458	17117
532	19489	17075
533	19517	17031
534	19579	17017
535	19666	17024
536	19717	17000
537	19744	16955
538	19765	16904
539	19818	16882
540	19855	16846
541	19895	16812
542	19928	16772
543	19962	16733
544	19995	16693
545	20030	16655
546	20048	16603
547	20077	16560
548	20101	16512
549	20111	16455
550	20127	16401
551	20157	16359
552	20189	16319
553	20246	16299
554	20288	16267
555	20348	16249
556	20393	16219
557	20427	16181
558	20460	16141
559	20491	16100
560	20503	16044
561	20538	16006
562	20572	15968
563	20606	15929
564	20636	15888
565	20668	15848
566	20700	15808
567	20731	15767
568	20766	15729
569	20851	15730
570	20891	15696
571	20921	15654
572	20958	15618
573	20992	15579
574	21001	15522
575	21046	15492
576	21079	15453
577	21111	15413
578	21142	15373
579	21179	15337
580	21212	15297
581	21250	15262
582	21288	15227
583	21313	15182
584	21346	15143
585	21382	15106
586	21414	15066
587	21450	15029
