iter	Passed	Remaining
398	284981	429257
399	285858	428787
400	286590	428099
401	287393	427515
402	288658	427615
403	289289	426773
404	289934	425952
405	290602	425167
406	291579	424831
407	292387	424247
408	292996	423376
409	293970	423030
410	294499	422044
411	295382	421565
412	296232	421037
413	297068	420488
414	298129	420254
415	298813	419488
416	299608	418876
417	300535	418448
418	301290	417780
419	302239	417378
420	303198	416988
421	303861	416189
422	304696	415626
423	305344	414808
424	306360	414487
425	307429	414235
426	308064	413398
427	308874	412795
428	309745	412272
429	310351	411396
430	311126	410744
431	311746	409889
432	312655	409413
433	313227	408494
434	314249	408163
435	315138	407656
436	315884	406963
437	317071	406836
438	317977	406345
439	318674	405586
440	319577	405087
441	320506	404620
442	321167	403815
443	322222	403503
444	323068	402928
445	323655	402028
446	324438	401375
447	325166	400651
448	326072	400147
449	326728	399334
450	327696	398903
451	328600	398391
452	329233	397551
453	330157	397061
454	330756	396181
455	331793	395824
456	332636	395233
457	333154	394256
458	333781	393411
459	334297	392436
460	334789	391434
461	335434	390614
462	335939	389632
463	336614	388848
464	337178	387936
465	338023	387348
466	338505	386345
467	339406	385821
468	339941	384880
469	340678	384169
470	341619	383687
471	342340	382957
472	343247	382434
473	343840	381561
474	344475	380736
475	344963	379749
476	345684	379020
477	346185	378051
478	346950	377372
479	347472	376429
480	348178	375685
481	348655	374696
482	349509	374112
483	350012	373153
484	350537	372220
485	351144	371374
486	351727	370505
487	352402	369733
488	352928	368806
489	353629	368062
490	354163	367146
491	354991	366535
492	355550	365646
493	356305	364960
494	356791	363999
495	357653	363421
496	358651	362981
497	359360	362246
498	360150	361594
499	360724	360724
500	361547	360104
501	362250	359364
502	363265	358932
503	364210	358429
504	364769	357546
505	365691	357018
506	366399	356281
507	367393	355822
508	368073	355057
509	369008	354537
510	369917	353991
511	370541	353172
512	371528	352698
513	372080	351811
514	373065	351333
515	373617	350447
516	374628	349991
517	375718	349607
518	376474	348909
519	377346	348319
520	377888	347424
521	378809	346879
522	379823	346416
523	380396	345551
524	380913	344636
525	381720	343983
526	382595	343392
527	383222	342578
528	384157	342038
529	384778	341218
530	385616	340591
531	386359	339880
532	387127	339190
533	388322	338873
534	388972	338079
535	390124	337719
536	390936	337064
537	391925	336560
